1313077746 INTERNAL *** DAGMAN_STARTED 6093.0 ***
1313077760 ilustreWebTest.20110805.datajob.aim_wait SUBMIT 6094.0 - - 1
1313077761 ilustreWebTest.20110805.datajob.aim_wait EXECUTE 6094.0 - - 1
1313077761 ilustreWebTest.20110805.datajob.patha_rttp_wait SUBMIT 6095.0 - - 2
1313077761 ilustreWebTest.20110805.datajob.pod_rttp_wait SUBMIT 6096.0 - - 3
1313077761 ilustreWebTest.20110805.datajob.susex_wait SUBMIT 6097.0 - - 4
1313077761 ilustreWebTest.20110805.datajob.trdflag_wait SUBMIT 6098.0 - - 5
1313077766 ilustreWebTest.20110805.datajob.susex_wait EXECUTE 6097.0 - - 4
1313077766 ilustreWebTest.20110805.datajob.trdflag_wait EXECUTE 6098.0 - - 5
1313077766 ilustreWebTest.20110805.datajob.patha_rttp_wait EXECUTE 6095.0 - - 2
1313077766 ilustreWebTest.20110805.datajob.pod_rttp_wait EXECUTE 6096.0 - - 3
1313077767 ilustreWebTest.20110805.soqrates.eticks_wait SUBMIT 6099.0 - - 6
1313077768 ilustreWebTest.20110805.soqrates.opra_wait SUBMIT 6100.0 - - 7
1313077768 ilustreWebTest.20110805.soqrates.pp_sod_wait SUBMIT 6101.0 - - 8
1313077768 ilustreWebTest.20110805.soqrates.pp_wait SUBMIT 6102.0 - - 9
1313077768 ilustreWebTest.20110805.soqrates.safair_wait SUBMIT 6103.0 - - 10
1313077771 ilustreWebTest.20110805.soqrates.pp_wait EXECUTE 6102.0 - - 9
1313077771 ilustreWebTest.20110805.soqrates.safair_wait EXECUTE 6103.0 - - 10
1313077771 ilustreWebTest.20110805.soqrates.opra_wait EXECUTE 6100.0 - - 7
1313077771 ilustreWebTest.20110805.soqrates.eticks_wait EXECUTE 6099.0 - - 6
1313077771 ilustreWebTest.20110805.soqrates.pp_sod_wait EXECUTE 6101.0 - - 8
1313077826 ilustreWebTest.20110805.datajob.susex_wait JOB_TERMINATED 6097.0 - - 4
1313077826 ilustreWebTest.20110805.datajob.susex_wait JOB_SUCCESS 0 - - 4
1313077827 ilustreWebTest.20110805.datajob.patha_rttp_wait JOB_TERMINATED 6095.0 - - 2
1313077827 ilustreWebTest.20110805.datajob.patha_rttp_wait JOB_SUCCESS 0 - - 2
1313077827 ilustreWebTest.20110805.datajob.pod_rttp_wait JOB_TERMINATED 6096.0 - - 3
1313077827 ilustreWebTest.20110805.datajob.pod_rttp_wait JOB_SUCCESS 0 - - 3
1313077834 ilustreWebTest.20110805.soqrates.safair_wait JOB_TERMINATED 6103.0 - - 10
1313077834 ilustreWebTest.20110805.soqrates.safair_wait JOB_SUCCESS 0 - - 10
1313077834 ilustreWebTest.20110805.datajob.susex_wait.susex_split SUBMIT 6106.0 - - 11
1313077834 ilustreWebTest.20110805.datajob.patha_rttp_wait.patha_rttp SUBMIT 6107.0 - - 12
1313077834 ilustreWebTest.20110805.datajob.pod_rttp_wait.pod_rttp SUBMIT 6108.0 - - 13
1313077835 ilustreWebTest.20110805.soqrates.pp_wait JOB_TERMINATED 6102.0 - - 9
1313077835 ilustreWebTest.20110805.soqrates.pp_wait JOB_SUCCESS 0 - - 9
1313077836 ilustreWebTest.20110805.soqrates.pp_sod_wait JOB_TERMINATED 6101.0 - - 8
1313077836 ilustreWebTest.20110805.soqrates.pp_sod_wait JOB_SUCCESS 0 - - 8
1313077836 ilustreWebTest.20110805.soqrates.eticks_wait JOB_TERMINATED 6099.0 - - 6
1313077836 ilustreWebTest.20110805.soqrates.eticks_wait JOB_SUCCESS 0 - - 6
1313077836 ilustreWebTest.20110805.soqrates.opra_wait JOB_TERMINATED 6100.0 - - 7
1313077836 ilustreWebTest.20110805.soqrates.opra_wait JOB_SUCCESS 0 - - 7
1313077846 ilustreWebTest.20110805.soqrates.waitsync SUBMIT 6109.0 - - 14
1313077846 ilustreWebTest.20110805.soqrates.waitsync EXECUTE 6109.0 - - 14
