127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.310084
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000790
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000555
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000501
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000452
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000408
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000475
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004067
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.010640
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.001902
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000911
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.001587
127.0.0.1, 2011-08-14 12:08:15, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.001641
127.0.0.1, 2011-08-14 18:46:05, GET, /, HTTP/1.1, 303, 0.002030
127.0.0.1, 2011-08-14 18:46:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.118022
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/default/index, HTTP/1.1, 200, 0.051807
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000550
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000502
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000577
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.004228
127.0.0.1, 2011-08-14 18:46:08, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001236
